price_ori,item_rating,price_actual,total_rating,total_sold,favorite,Type of product,Type of product_2,date_date,from,to,fees
30.0,4.9,30.0,341.0,857.0,259.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.505
13.99,4.6,7.0,35.0,68.0,39.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
16.5,4.8,8.5,183.0,459.0,286.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
89.99,4.5,47.5,36.0,54.0,128.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
9.99,4.9,9.99,85.0,183.0,76.0,watches,watch accessories,2020-11-23,local,kuala lumpur,0.0
2.0,4.9,2.0,54.0,1100.0,32.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
24.0,4.9,24.0,4200.0,8800.0,8800.0,baby & toys,baby clothing,2020-11-23,overseas,kuala lumpur,0.0
13.9,4.9,13.9,117.0,712.0,84.0,men's bags & wallets,waist bags,2020-11-23,local,kuala lumpur,0.0
6.3,4.9,6.3,18.0,37.0,25.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
39.9,4.8,6.5,321.0,830.0,154.0,watches,watches,2020-11-23,local,kuala lumpur,0.0
11.9,4.9,11.9,1100.0,3000.0,500.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
19.9,5.0,19.9,711.0,1800.0,306.0,baby & toys,baby clothing,2020-11-23,local,kuala lumpur,0.8200000000000001
22.5,4.8,12.5,37.0,64.0,125.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
25.0,4.8,25.0,2000.0,6500.0,930.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
25.0,5.0,25.0,1400.0,4500.0,579.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
5.99,4.9,5.99,5100.0,15800.0,15800.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
17.0,5.0,17.0,1100.0,2000.0,371.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
19.9,5.0,19.9,10200.0,33100.0,33100.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.37
13.99,4.5,7.0,213.0,464.0,284.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
19.9,5.0,19.9,915.0,2100.0,321.0,baby & toys,baby clothing,2020-11-23,local,kuala lumpur,0.8200000000000001
79.99,4.4,9.99,14.0,28.0,43.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
13.99,4.6,7.0,42.0,128.0,76.0,watches,luxury,2020-11-23,local,kuala lumpur,0.0
79.98,4.6,34.5,256.0,444.0,306.0,watches,men's watches,2020-11-23,local,kuala lumpur,0.0
69.9,4.8,69.9,366.0,768.0,230.0,watches,men's watches,2020-11-23,local,kuala lumpur,0.0
45.0,4.8,45.0,219.0,310.0,730.0,watches,men's watches,2020-11-23,local,kuala lumpur,0.8200000000000001
